name,price
"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch FHD Display","Rs. 30,499"
Dell Vostro 3400 i3 11th Gen / 8GB RAM / 256GB SSD / 14 inch Display Laptop,"Rs. 47,999"
Asus ExpertBook B1400 I5-24GB-1TB SSD 14 FHD,"Rs. 77,500"
"Acer Aspire 7 Amd Ryzen 5 5500u 16GB Ram 512GB SSD 4GB GTX 1650 Graphics 15.6""FHD","Rs. 81,000"
"Lenovo ThinkPad L13 Yoga 2-in-1 13.3"" Touch-Screen Laptop with Stylus / Intel Core i5-1135G7 / 16GB DDR4 RAM / 512GB SSD Storage / Windows 11 / FingerPrint Reader","Rs. 83,999"
Lenovo Ideapad 1  Core i3- 12th Gen 8GB RAM  256GB SSD  14� HD,"Rs. 47,999"
"Lenovo IdeaPad L3 15ITL6 Celeron N4020 / 4GB RAM / 256GB SSD / 15.6"" FHD display","Rs. 31,000"
"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display","Rs. 30,499"
"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 512GB SSD 15.6""FHD","Rs. 78,499"
"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 256GB SSD 15.6""FHD","Rs. 75,000"

Dell Vostro 3510 /15.6″ FHD /Intel Core I5 1135G7 /8 GB RAM /512 GB SSD/1TB HDD,"Rs. 70,999"
Lenovo Idea pad 1 - Celeron N4120- 4GB RAM-126GB SSD 15.6' Display Windows 11 Genuine,"Rs. 31,000"
Dell Vostro 3400 / Core I5 11th Gen / 8GB / 256GB +1TB HDD MX330 2GB / 14 Inch,"Rs. 70,499"
Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD,"Rs. 66,900"
Acer Aspire 3 I5-11th Gen-8GB RAM-512GB SSD -15.6FHD,"Rs. 63,499"
Asus ExpertBook B1400 I5-24GB-1TB SSD 14 FHD,"Rs. 77,999"
"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 512GB SSD 15.6""FHD","Rs. 76,000"
"HP Victus 15 2022 / i5 12450H / NVIDIA GTX 1650 / 8GB RAM / 512GB SSD / 15.6"" 144hz FHD Display","Rs. 102,490"
"Lenovo Laptop V15-IGL | Intel Celeron N4020 | 4GB RAM | 256GB SSD | 15.6"" HD","Rs. 31,877"
"Acer Nitro 5 / AMD Ryzen 7 5800H / RTX 3060 / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz","Rs. 147,490"
MSI Pulse GL66 11UCK | 11th Gen i7-11800H | 16GB | 512GB | NVIDIA RTX 3050-4GB GDDR6 | Win 10,"Rs. 178,200"
"Lenovo IdeaPad 3 Intel Core i7 12th Generation 1255U 15.6"" FHD Thin & Portable Laptop - 8GB DDR4 RAM - 512GB NVMe SSD - Arctic Grey","Rs. 84,999"
Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,"Rs. 107,799"
Lenovo V15 Intel Celeron Processor  4 GB RAM 128 GB SSD 15.6 inch Black - OTE,"Rs. 40,000"
CHUWI GemiBook 13 Windows 10 Laptop With Free Bagä¸¨8GB LPDDR4ä¸¨256GB SSDä¸¨2K Resolution IPS Display With Bag + Free Gift,"Rs. 46,999"
"Lenovo IdeaPad 3 Intel Core i5 12th Generation 1235U 15.6"" FHD Thin & Light Laptop for Students & Business - 8GB DDR4 RAM - 256GB NVMe SSD - Arctic Grey","Rs. 69,999"
"Asus VivoBook 14  E410M 11th Gen Intel Celeron -N4020 Processor, 4GB DDR4 RAM, 256GB SSD Storage 14-inch FHD Display with Windows 11 Star Blue Color","Rs. 36,500"
Acer Aspire 5 2023 Intel Core i7 13th Gen 1355U – 8GB DDR5 RAM – 512GB NVMe SSD Storage – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey,"Rs. 96,999"
"MSI GF63 9SCSR I5 9TH GEN/ 8GB RAM/ 256GB SSD / GTX 1650TI / 15.6"" FHD 144Hz","Rs. 125,000"
Lenovo V15 Laptop Intel Celeron | 4 GB RAM| 256 GB SSD|15.6-inch Display| Black - OTE,"Rs. 37,500"
"Acer Travelmate P2 Intel Core i7 11th Gen 14"" FHD Display Laptop - 8GB DDR4 RAM - 512GB SSD  Storage - NVIDIA GeForce MX330 2GB Dedicated Graphics - Shale Black","Rs. 86,999"
"Dell G5 15 G5500 2020 Gaming Laptop I7 10Th Gen / GTX 1660Ti 6GB / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz Display","Rs. 173,000"
"Lenovo IP1 Core i3 12th gen/ 8GB RAM/256GB SSD/14"" / Win 11 Genuine","Rs. 51,990"
"HP Laptop 250 G9/ Intel Core i5 12th Gen/8GB RAM /512GB NVMe SSD /Backlit Keyboard/ 15.6"" FHD","Rs. 75,734"
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD )","Rs. 33,999"
Mi Notebook Pro Qhd+ Intel Core I5 11Th Gen H Series 14 Inch 1.4Kg Thin & Light Laptop 16Gb Ram Ddr4 512Gb Pcie Nvme Ssd Iris Xe Graphics Win 11,"Rs. 109,999"
Apple MacBook Air 13-inch M1 256GB - Oliz Store,"Rs. 139,900"
"Dell Latitude E7270 Laptop I5-6th Gen 256 GB SSD 8 GB RAM 12.5 Screen"" Ultrabook","Rs. 37,999"
"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display","Rs. 170,490"
"Dell Vostro 3400 i3 11th Gen/4gb RAM/256gb SSD/ 14"" HD Laptop","Rs. 45,044"
"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch FHD Display","Rs. 30,499"
